 ,Area,Mean,Min,Max
266,0.248,255,255,255
267,0.248,255,255,255
268,0.441,255,255,255
269,0.193,255,255,255
270,0.221,255,255,255
271,0.138,255,255,255
272,2.123,255,255,255
273,0.303,255,255,255
274,0.138,255,255,255
275,0.607,255,255,255
276,0.165,255,255,255
277,0.165,255,255,255
278,21.811,255,255,255
279,22.114,255,255,255
280,0.110,255,255,255
281,0.689,255,255,255
282,0.496,255,255,255
283,0.110,255,255,255
284,1.489,255,255,255
285,5.377,255,255,255
286,4.577,255,255,255
287,0.193,255,255,255
288,0.138,255,255,255
289,1.186,255,255,255
290,0.165,255,255,255
291,0.276,255,255,255
292,0.193,255,255,255
293,1.186,255,255,255
294,0.331,255,255,255
295,0.165,255,255,255
296,0.358,255,255,255
297,0.110,255,255,255
298,0.276,255,255,255
299,0.110,255,255,255
300,0.110,255,255,255
301,0.165,255,255,255
302,18.723,255,255,255
303,0.110,255,255,255
304,0.193,255,255,255
305,0.634,255,255,255
306,7.114,255,255,255
307,0.221,255,255,255
308,0.110,255,255,255
309,0.662,255,255,255
310,0.938,255,255,255
311,0.110,255,255,255
312,0.110,255,255,255
313,0.110,255,255,255
314,0.193,255,255,255
315,0.138,255,255,255
316,0.138,255,255,255
317,0.165,255,255,255
318,1.710,255,255,255
319,0.248,255,255,255
320,0.717,255,255,255
321,0.276,255,255,255
322,0.138,255,255,255
323,0.303,255,255,255
324,0.138,255,255,255
325,0.165,255,255,255
326,0.386,255,255,255
327,0.165,255,255,255
328,0.165,255,255,255
329,0.193,255,255,255
330,2.261,255,255,255
331,0.110,255,255,255
332,0.110,255,255,255
333,0.303,255,255,255
334,0.165,255,255,255
335,0.165,255,255,255
336,0.138,255,255,255
337,2.426,255,255,255
338,0.882,255,255,255
339,0.386,255,255,255
340,0.110,255,255,255
341,0.138,255,255,255
342,0.165,255,255,255
343,0.193,255,255,255
